## DEGs of mapped genes


## T0s VS T14s ##


## NS (469)
Comparison of groups:  2-1 
                    logFC    logCPM       PValue          FDR
XM_048722347.1 -0.9012595  4.415425 2.479463e-04 4.471010e-03
XM_048732113.1 -0.8354955  4.498434 2.518999e-04 4.530156e-03
XM_001628583.3  0.6643233  4.438589 2.620985e-04 4.700999e-03
XM_048732380.1  0.8674855  7.194690 2.639527e-04 4.721665e-03
XM_032378265.2  0.7796163  5.239644 2.656238e-04 4.738954e-03
XM_032362917.2 -0.7860800  3.993668 2.674136e-04 4.758264e-03
XM_048724198.1 -0.6793236  4.174371 2.706805e-04 4.803687e-03
XM_001632693.3  0.8147271  7.730703 2.735722e-04 4.842228e-03
XM_048726144.1 -0.8319769  8.042524 2.786821e-04 4.910182e-03
XM_001628860.3 -0.8061169  4.301681 2.790123e-04 4.910182e-03
XM_048726358.1  0.7312883  4.588150 2.796015e-04 4.910182e-03
XM_048724464.1  0.9106759  8.480747 2.845512e-04 4.980050e-03
XM_001631878.3 -0.9425163  4.903248 2.850609e-04 4.980050e-03
XM_001629168.3  0.7792269  5.248630 2.872881e-04 5.005959e-03
XM_032374003.2  0.7199394  4.588594 2.971969e-04 5.165236e-03
XM_032377522.2 -0.8191100  6.957504 2.993996e-04 5.183767e-03
XM_032367284.2 -0.7725302  5.594081 2.998046e-04 5.183767e-03
XM_032377228.2  0.7728822  5.567344 3.118155e-04 5.377618e-03
XM_001639626.3 -0.7256838  4.402986 3.160182e-04 5.429705e-03
XM_001630918.3 -0.6243459  3.953444 3.164503e-04 5.429705e-03
XM_048722252.1 -0.8281165  6.244774 3.192917e-04 5.464520e-03
XM_048720827.1 -0.8615803  6.385496 3.219604e-04 5.496206e-03
XM_032376622.2 -0.7909556  6.801861 3.231429e-04 5.502428e-03
XM_048727482.1 -1.6328740  5.156466 3.305862e-04 5.614956e-03
XM_032371552.2  0.7556832  4.645895 3.316268e-04 5.618443e-03
XM_001638268.3 -0.6841451  4.630868 3.354807e-04 5.669456e-03
XM_048722397.1 -0.7591107  5.038382 3.562986e-04 6.006177e-03
XM_048730480.1  0.8068456  4.888976 3.604806e-04 6.048682e-03
XM_001631769.3  0.6986548  5.730350 3.606187e-04 6.048682e-03
XM_001636928.3 -0.7831932  4.244842 3.624074e-04 6.063563e-03
XM_048729222.1 -0.7306827  5.282400 3.688357e-04 6.155804e-03
XM_048728223.1 -0.7372156  5.488997 3.714483e-04 6.173767e-03
XM_032383959.2  0.9053543  5.539609 3.717478e-04 6.173767e-03
XM_048733073.1  0.8070687  5.147645 3.754303e-04 6.219568e-03
XM_001634109.3  0.7226914  4.861845 3.790318e-04 6.263803e-03
XM_048732210.1 -0.7350798  5.203014 3.811986e-04 6.284172e-03
XM_001631435.3  0.8894641  4.912546 3.832648e-04 6.302786e-03
XM_048733279.1 -0.7744540  4.133175 3.846536e-04 6.310196e-03
XM_048722583.1 -0.9652743  8.789968 3.858779e-04 6.314878e-03
XM_048725061.1  0.6871418  4.165334 3.879115e-04 6.332750e-03
XM_032363026.2  1.1217013  6.872153 3.900028e-04 6.351474e-03
XM_001629963.3  0.6751293  4.616812 3.998273e-04 6.495746e-03
XM_048723773.1  0.8843338  6.144011 4.013109e-04 6.504138e-03
XM_032375039.2 -0.7626213  4.223890 4.032199e-04 6.519368e-03
XM_001625853.3  0.8817397  4.797592 4.066546e-04 6.559133e-03
XM_048733814.1 -0.7906318  5.470328 4.128854e-04 6.643701e-03
XM_048725563.1 -0.7665103  4.867095 4.157180e-04 6.673315e-03
XR_004296397.2 -0.7037746  4.836494 4.219881e-04 6.757837e-03
XM_032376256.2  0.8786365  4.774939 4.278214e-04 6.834980e-03
XM_048726568.1  1.0767599  6.207859 4.299111e-04 6.839718e-03
XM_048722623.1  0.8000505  5.715455 4.301518e-04 6.839718e-03
XM_048727081.1  0.6990410  4.791547 4.361242e-04 6.918328e-03
XM_032365481.2  0.8234681  5.046385 4.378015e-04 6.928595e-03
XM_048732578.1 -0.8095459  4.509003 4.423365e-04 6.983933e-03
XM_032366562.2 -0.7534786  6.464465 4.525053e-04 7.127753e-03
XR_007311891.1 -0.9802130  4.519017 4.601098e-04 7.222860e-03
XM_032370334.2 -0.7431918  4.814934 4.606909e-04 7.222860e-03
XM_048723500.1  0.8852412  5.005692 4.648205e-04 7.270658e-03
XM_032385660.2  0.8437591  4.802486 4.661866e-04 7.275106e-03
XR_007306415.1 -0.7603141  6.187110 4.712790e-04 7.337552e-03
XM_001623803.3  0.7244121  4.637462 4.741409e-04 7.365062e-03
XM_001638417.3  0.6724527  5.808130 4.919428e-04 7.623979e-03
XM_048726694.1  0.6988231  5.862408 4.974710e-04 7.691931e-03
XM_048721789.1 -0.7550175  6.998376 5.005314e-04 7.721501e-03
XR_007307075.1 -0.7265347  5.989230 5.060774e-04 7.789192e-03
XM_048721603.1 -0.7769779  5.216864 5.093765e-04 7.822069e-03
XM_032373987.2 -0.7653122  4.946721 5.173360e-04 7.924487e-03
XM_048734208.1 -0.7708880  5.568930 5.184023e-04 7.924487e-03
XM_048727208.1  0.7035098  4.701456 5.264832e-04 8.029764e-03
XM_001639625.3  0.7882351  4.553732 5.318974e-04 8.076802e-03
XM_048726770.1  0.7866970  4.816567 5.319690e-04 8.076802e-03
XM_032373225.2  0.9925638  4.819801 5.363721e-04 8.125313e-03
XM_001628994.2  0.9742510  4.628218 5.503257e-04 8.317956e-03
XM_032364761.2 -0.8587328  4.488107 5.542602e-04 8.330841e-03
XM_001641857.3  0.8115320  4.760125 5.547537e-04 8.330841e-03
XM_048721249.1 -1.0103569  4.932168 5.548939e-04 8.330841e-03
XM_032379717.2 -0.6731838  4.240581 5.607139e-04 8.399470e-03
XM_001640639.3  0.8003776  6.405062 5.655244e-04 8.442944e-03
XM_032370869.2 -0.6690795  5.582315 5.669961e-04 8.442944e-03
XM_048727819.1 -0.7967185  5.547863 5.673819e-04 8.442944e-03
XM_048731921.1  0.7178269  5.142829 5.854946e-04 8.693238e-03
XM_001635222.3  0.7399359  5.918742 5.885355e-04 8.719140e-03
XM_001636241.3  0.8019060  6.121536 5.926046e-04 8.760128e-03
XM_001631958.3  0.7782405  7.780084 5.940456e-04 8.762172e-03
XM_048728308.1 -0.6802294  4.214316 5.966903e-04 8.781370e-03
XM_032369575.2  0.6862110  5.922213 5.979583e-04 8.781370e-03
XM_048734161.1 -0.6988771  4.627433 6.013113e-04 8.811183e-03
XM_001632792.3  0.7716459  7.530384 6.026084e-04 8.811183e-03
XM_032385249.2  0.6775230  4.572397 6.206221e-04 9.054890e-03
XM_032383259.2 -0.7709911  6.008864 6.241120e-04 9.076705e-03
XM_001623828.3 -0.9437218  7.804079 6.248163e-04 9.076705e-03
XM_048727495.1  0.5896457  4.073832 6.486985e-04 9.384473e-03
XM_032370803.2  0.9828415  6.250613 6.487928e-04 9.384473e-03
XM_048729355.1 -0.8973149  6.167804 6.555064e-04 9.461237e-03
XM_048723737.1 -0.7555915  4.788816 6.612738e-04 9.524042e-03
XM_048729556.1 -0.6446290  4.014156 6.658977e-04 9.570145e-03
XM_032384471.2 -0.9125185  4.541544 6.793864e-04 9.743184e-03

## ME (377)
Comparison of groups:  4-3 
                     logFC    logCPM        PValue           FDR
XR_007306877.1 -10.7794143 15.650371 2.648857e-108 1.607592e-104
XM_048729070.1   3.2098124 10.301119  6.335824e-18  1.922606e-14
XR_007306918.1  -2.2895624  6.344908  5.237477e-16  9.172366e-13
XM_001631917.3  -2.3508412  6.957924  6.045389e-16  9.172366e-13
XM_001636932.3  -2.1424497  6.449992  2.202813e-15  2.673775e-12
XM_048722657.1   2.3203943  5.960380  1.156840e-14  1.170144e-11
XM_001624482.3   2.0704645  6.120841  2.785315e-14  2.414868e-11
XM_001623270.3  -2.2716704  6.450213  7.080205e-14  5.371220e-11
XM_001631422.3  -1.9730669  5.858414  1.427489e-12  9.626036e-10
XR_007306253.1  -3.0063931  8.961799  2.125859e-12  1.290184e-09
XM_048733772.1  -2.0295386  5.939946  4.228023e-12  2.332716e-09
XM_048734432.1  -1.8956365  6.639305  2.599146e-11  1.314518e-08
XM_032382924.2  -1.5652911  4.837706  5.478346e-11  2.557545e-08
XR_007312385.1  -1.8208181  5.448704  1.172198e-10  5.081478e-08
XM_001626671.3  -1.7740708  6.097180  2.386967e-10  9.657668e-08
XM_032371825.2   1.8797479  5.932965  2.670349e-10  1.012897e-07
XM_048721249.1  -1.3685823  4.428667  3.197480e-10  1.141500e-07
XR_007305260.1  -1.8698570  5.629081  3.777938e-10  1.222195e-07
XM_048732914.1  -1.8838123  5.001282  4.006572e-10  1.222195e-07
XR_007306916.1   3.5283300 15.746238  4.027665e-10  1.222195e-07
XM_032377265.2  -1.8110714  6.032396  5.075637e-10  1.466859e-07
XM_001636392.3   1.6808470  6.241522  6.185076e-10  1.706238e-07
XM_048731960.1  -2.3780059  7.540863  6.941057e-10  1.827123e-07
XM_032375382.2  -1.5008272  4.818068  7.225402e-10  1.827123e-07
XM_048730246.1  -2.0994631  6.051261  1.073972e-09  2.607175e-07
XM_001634075.3   2.3867711  7.309315  1.439434e-09  3.359972e-07
XM_001627064.3  -1.9065324  7.864281  3.077900e-09  6.918434e-07
XM_001629293.3   2.0928453  5.653740  4.220814e-09  9.041213e-07
XM_048720915.1   1.3842044  4.924352  4.364094e-09  9.041213e-07
XM_048724741.1   1.9841668  9.693739  4.469211e-09  9.041213e-07
XM_048730410.1  -1.8021401  5.593525  5.256952e-09  1.029176e-06
XM_032365879.2   1.8464993  6.391084  5.936457e-09  1.125886e-06
XM_048723806.1  -2.2375189  7.158241  6.352686e-09  1.168317e-06
XM_048730683.1  -1.4752328  4.896182  1.018821e-08  1.818595e-06
XM_048728999.1   1.8911840  6.213337  1.211205e-08  2.100230e-06
XR_007312194.1  -1.7669573  6.338703  2.521169e-08  4.158366e-06
XR_007314268.1  -1.4139828  5.105636  2.535171e-08  4.158366e-06
XM_001626679.3   1.2382878  4.442417  2.947238e-08  4.707050e-06
XM_048725109.1   1.6315079  7.613661  3.853938e-08  5.997321e-06
XM_048723718.1  -1.3136798  5.185507  4.176292e-08  6.336480e-06
XM_001632982.3   2.4986087  9.444471  4.590423e-08  6.794946e-06
XM_001635407.3   1.5279749  5.654456  4.736651e-08  6.844461e-06
XM_032386726.2  -1.5884996  7.704188  5.562690e-08  7.851155e-06
XR_007312590.1  -1.5572401  4.879850  5.695019e-08  7.855243e-06
XM_032377385.2  -1.4940815  6.138804  6.256849e-08  8.438404e-06
XM_048726078.1   1.5821286  6.132015  7.123484e-08  9.258030e-06
XM_032364009.2  -1.4622495  5.535200  7.169673e-08  9.258030e-06
XM_032386007.2  -1.3609030  5.589194  7.426224e-08  9.389531e-06
XM_048725092.1   1.2413073  5.236504  8.090006e-08  1.002005e-05
XM_048721953.1  -1.2998136  4.787147  9.122364e-08  1.107273e-05
XM_001638554.3   1.3194298  4.924320  9.319280e-08  1.108994e-05
XR_007312192.1  -2.0539122 13.075813  1.133289e-07  1.322679e-05
XM_048721179.1  -1.4572238  4.913896  1.379364e-07  1.579502e-05
XM_001640639.3   1.3887782  6.363753  1.849284e-07  2.078390e-05
XM_048734604.1  -1.2176112  5.100557  1.888821e-07  2.084228e-05
XM_001638165.3  -1.5095753  6.113718  1.924470e-07  2.085644e-05
XM_032385144.2  -1.2566863  5.727797  2.164780e-07  2.304921e-05
XM_032367448.2   1.4304126  5.889400  2.228218e-07  2.331561e-05
XM_001626241.3   1.7920452  6.819741  2.458868e-07  2.503274e-05
XM_001628740.3  -1.8757242  9.284389  2.501130e-07  2.503274e-05
XM_032387399.2  -1.4741999  4.949460  2.516060e-07  2.503274e-05
XM_048724100.1   1.3371752  5.382208  2.669752e-07  2.613343e-05
XM_001641929.3  -1.7014326  5.468225  2.769333e-07  2.667791e-05
XM_032377993.2  -1.2386704  5.499039  2.819870e-07  2.674030e-05
XM_032363372.2   1.6728204  7.871341  3.366183e-07  3.142979e-05
XM_001633287.3   1.3313753  5.335868  3.489403e-07  3.208665e-05
XM_032386927.2   1.4078607  5.162513  4.898380e-07  4.340788e-05
XM_032383745.2  -1.4333388  6.382008  4.913374e-07  4.340788e-05
XR_007307164.1  -1.2393869  4.791826  4.935151e-07  4.340788e-05
XM_048733738.1  -2.2272230  6.231775  5.233718e-07  4.519342e-05
XM_001631860.3   1.3030726  6.321932  5.287086e-07  4.519342e-05
XM_048723498.1   1.6771167  7.109339  5.431606e-07  4.547446e-05
XM_048721957.1  -1.4876872  7.901616  5.469823e-07  4.547446e-05
XM_048729371.1   1.9784410  6.195193  5.577157e-07  4.574022e-05
XM_048720580.1  -1.0783162  4.094738  6.413040e-07  5.189432e-05
XM_048722692.1  -1.4520701  5.580926  6.654859e-07  5.314255e-05
XM_001636654.3   1.7254419  7.935308  6.792477e-07  5.339522e-05
XM_048730578.1  -1.2918367  5.869274  6.914828e-07  5.339522e-05
XM_001626957.3   1.6120279  9.044500  6.950441e-07  5.339522e-05
XM_048725787.1  -1.0647715  4.430287  7.161684e-07  5.428909e-05
XM_048729734.1  -1.4129255  5.053787  7.245702e-07  5.428909e-05
XM_048726050.1  -1.6699047  5.892359  7.776544e-07  5.755591e-05
XM_001627279.3  -1.1523658  5.346958  8.025633e-07  5.868382e-05
XM_001627402.3  -1.1688702  5.627099  9.211453e-07  6.655275e-05
XM_048727207.1   1.2436344  6.534447  1.043656e-06  7.451706e-05
XM_032364772.2   1.0894949  4.548274  1.096241e-06  7.736145e-05
XM_032376148.2  -1.2309477  5.056853  1.161890e-06  8.105187e-05
XM_048732427.1  -1.4373363  6.764453  1.344335e-06  9.271326e-05
XM_001634488.3   1.2155680  4.888184  1.404938e-06  9.580413e-05
XM_048725227.1  -1.3767379  5.128061  1.450010e-06  9.777900e-05
XM_048720696.1  -1.2894894  6.379093  1.492184e-06  9.951718e-05
XM_048725404.1  -1.4967211  7.349526  1.512376e-06  9.976751e-05
XM_048723705.1   1.3620470  6.156053  1.541072e-06  1.005674e-04
XM_032369445.2   1.3312228  5.819268  1.702554e-06  1.099234e-04
XM_032365207.2  -1.2069882  5.384635  1.832382e-06  1.170603e-04
XM_032385117.2   1.3992724  6.505019  2.033887e-06  1.285798e-04
XM_048722917.1  -1.2852116  5.741416  2.138564e-06  1.338035e-04
XM_032364263.2  -1.4025832  6.655307  2.505649e-06  1.551712e-04
XM_001629238.3   1.1449031  5.416819  2.703569e-06  1.657370e-04
XM_048725366.1   1.1915795  5.269221  2.852054e-06  1.730912e-04
XM_048723494.1   1.3839533  6.287277  2.919386e-06  1.752744e-04
XM_032370494.2   1.1206100  5.223480  2.963359e-06  1.752744e-04
XM_032380541.2   1.1008560  4.974401  2.974669e-06  1.752744e-04
XM_001630669.3  -1.2558973  6.648190  3.082626e-06  1.798890e-04
XM_048728876.1   1.0591475  4.302074  3.174680e-06  1.834965e-04
XM_048732896.1   1.7006190  5.764433  3.798526e-06  2.174835e-04
XR_007307142.1  -1.3079980 17.549236  3.960042e-06  2.226246e-04
XM_048730601.1   1.1772301  5.339019  3.961683e-06  2.226246e-04
XM_032386970.2   1.4485407  5.363301  4.178711e-06  2.326660e-04
XM_048719709.1  -1.1133126  5.223909  4.257882e-06  2.349190e-04
XM_048721527.1  -1.2602245  5.267678  4.335063e-06  2.370225e-04
XM_032373921.2  -1.2772318  7.182230  4.468324e-06  2.421273e-04
XM_001636405.3   0.9495457  4.332950  4.557181e-06  2.447569e-04
XR_007305305.1  -1.5092396  7.837870  4.796849e-06  2.553691e-04
XM_032379630.2  -1.3841993  5.270084  4.862089e-06  2.565915e-04
XM_001636514.3  -1.3796296  5.320346  5.438385e-06  2.845307e-04
XM_048725113.1  -2.4011016  7.428060  5.615192e-06  2.912701e-04
XM_048723488.1   1.1271744  5.696018  6.112616e-06  3.143853e-04
XM_048721268.1  -1.2355593  5.534022  6.469852e-06  3.299624e-04
XM_032371278.2   2.1282359  6.691825  6.951804e-06  3.503845e-04
XM_048721809.1  -1.2985545  6.377818  6.985751e-06  3.503845e-04
XM_048721789.1  -1.3321811  7.423946  7.531826e-06  3.746775e-04
XM_048731565.1  -1.0940375  4.330062  7.832229e-06  3.864537e-04
XM_048727188.1  -1.1979897  6.130002  8.076114e-06  3.952737e-04
XM_001629396.3   1.1284866  5.616944  8.311355e-06  4.035329e-04
XR_007306627.1  -2.8447665  8.715615  8.445687e-06  4.068006e-04
XM_032367550.2   1.0173666  4.694522  8.584300e-06  4.095179e-04
XM_048723496.1   1.5530044  6.620362  8.637055e-06  4.095179e-04
XM_032367112.2   1.1070351  5.277090  8.904266e-06  4.189147e-04
XM_048723504.1   1.2291713  5.765236  9.182801e-06  4.282965e-04
XM_048728499.1  -0.9332171  4.339256  9.312806e-06  4.282965e-04
XM_001636071.3  -1.1680187  5.122202  9.315397e-06  4.282965e-04
XM_048730906.1  -1.7666633  5.759218  9.649202e-06  4.403083e-04
XM_001635071.3  -1.1028230  5.319630  9.795857e-06  4.436646e-04
XM_048721466.1  -1.3661463  8.034084  1.033426e-05  4.645822e-04
XM_048728827.1  -1.1098786  6.275335  1.062208e-05  4.729269e-04
XM_048733363.1  -0.9946935  4.672966  1.070635e-05  4.729269e-04
XM_048724444.1  -1.3909361  9.105634  1.075365e-05  4.729269e-04
XM_048732509.1  -1.5667889  5.199177  1.095515e-05  4.760142e-04
XM_048732374.1  -1.3517214  5.854580  1.111279e-05  4.760142e-04
XM_001629503.3  -0.9148559  4.143516  1.113513e-05  4.760142e-04
XM_032378599.2  -1.1314881  5.964700  1.113759e-05  4.760142e-04
XR_004292921.2   1.0486051  4.751705  1.240377e-05  5.260956e-04
XM_001626090.3  -1.0695776  5.496124  1.253306e-05  5.260956e-04
XR_004297034.2  -1.6317583 12.262476  1.256943e-05  5.260956e-04
XM_032373987.2  -1.3308355  5.202604  1.302533e-05  5.414435e-04
XM_032366219.2  -1.0677426  4.632211  1.375678e-05  5.679584e-04
XM_032380321.2  -0.9792804  4.881496  1.405328e-05  5.746092e-04
XM_001630315.3  -1.0726239  4.576290  1.410723e-05  5.746092e-04
XM_032363258.2   1.2868328  5.079284  1.610817e-05  6.517367e-04
XM_048729040.1  -1.3425406  4.624653  1.627063e-05  6.539502e-04
XM_032371555.2  -1.3864008  4.595985  1.745460e-05  6.969207e-04
XM_032365218.2  -1.0635919  5.374615  1.764948e-05  7.000961e-04
XM_001637845.3  -1.0085593  4.833258  1.877392e-05  7.398633e-04
XM_001636301.3  -1.2401242  6.568445  1.953932e-05  7.650587e-04
XM_048720698.1  -0.9684742  4.702498  2.030294e-05  7.898624e-04
XM_048729222.1  -1.0112300  5.454675  2.063283e-05  7.975836e-04
XM_001636575.3  -1.0745683  5.900429  2.086551e-05  8.014733e-04
XM_032384667.2  -1.0864955  5.288569  2.138817e-05  8.082098e-04
XM_001636598.3   1.0871490  5.430988  2.145446e-05  8.082098e-04
XM_048724558.1  -1.6213049  4.839243  2.147724e-05  8.082098e-04
XM_032376542.2   0.9533310  4.380806  2.157357e-05  8.082098e-04
XM_048721132.1  -1.1452477  4.614855  2.181332e-05  8.121781e-04
XM_048731707.1  -1.2576699  6.671584  2.292119e-05  8.469749e-04
XM_048721333.1  -1.0932208  4.896173  2.302700e-05  8.469749e-04
XM_032366595.2   1.1541427  7.680542  2.373468e-05  8.677455e-04
XR_004293447.2  -1.2056337  4.496719  2.434046e-05  8.845644e-04
XM_048723128.1  -1.7987205  8.171385  2.558477e-05  9.235205e-04
XM_048726619.1   1.3612760  5.615007  2.571675e-05  9.235205e-04
XM_001638302.3   1.0275860  5.078158  2.595440e-05  9.249491e-04
XM_048723524.1  -2.1377662 12.747259  2.606135e-05  9.249491e-04
XM_032381054.2  -1.3160750  7.413821  2.716255e-05  9.580749e-04
XM_048732713.1   0.9496729  4.476409  2.731042e-05  9.580749e-04
XM_032364294.2  -1.0567002  5.590481  2.801693e-05  9.772113e-04
XM_001630398.3   1.3461072  7.062125  2.848564e-05  9.878821e-04
XM_001626638.3  -1.2611870  8.558194  2.909272e-05  1.003203e-03
XM_048721497.1  -1.2634816  6.878221  2.978168e-05  1.021158e-03
XM_032376480.2   1.1155191  4.840494  3.067622e-05  1.045921e-03
XM_001638489.3  -1.0024730  5.342334  3.145290e-05  1.066412e-03
XM_048722775.1   1.2622927  6.010072  3.265832e-05  1.101130e-03
XR_007305189.1  -1.0531107  5.589697  3.405187e-05  1.141772e-03
XM_048734583.1   1.1259461  4.423010  3.531743e-05  1.176214e-03
XM_001619797.3   1.1826989  4.856499  3.546665e-05  1.176214e-03
XM_032380348.2  -1.1775497  6.675571  3.577118e-05  1.179866e-03
XM_001637591.3  -1.4009589  7.559827  3.638530e-05  1.193635e-03
XM_001626761.3  -1.1505027  7.148013  3.697090e-05  1.206325e-03
XM_048729738.1  -1.0677476  5.434410  3.806614e-05  1.235419e-03
XM_032379655.2  -1.2725531  8.125456  3.909701e-05  1.262126e-03
XM_032370869.2  -1.0781733  5.870459  3.936256e-05  1.263976e-03
XR_007305698.1   3.8753830  8.195656  3.962372e-05  1.265665e-03
XM_048721139.1  -1.4599161  6.172885  4.034492e-05  1.278168e-03
XM_048721936.1   0.9677230  5.584705  4.053204e-05  1.278168e-03
XM_001638134.3  -1.1129461  4.819648  4.064696e-05  1.278168e-03
XM_001624294.3  -0.9576297  4.493450  4.158390e-05  1.300890e-03
XM_032376256.2   0.9236928  4.352405  4.286900e-05  1.334215e-03
XM_048723918.1  -1.3868402  4.700758  4.377590e-05  1.355490e-03
XR_007307557.1  -0.8943711  4.505578  4.505381e-05  1.384299e-03
XM_032363460.2   1.1808161  5.759916  4.516251e-05  1.384299e-03
XM_048733814.1  -1.1191678  5.382740  4.891005e-05  1.491634e-03
XM_001633333.3  -1.0688596  5.024797  4.973769e-05  1.509290e-03
XM_048733990.1  -1.0508630  6.205829  5.020465e-05  1.515881e-03
XR_007306626.1  -0.9592686  4.324612  5.067487e-05  1.522504e-03
XM_048732164.1   1.1787187  7.547810  5.397944e-05  1.609394e-03
XM_001627740.3  -0.9298333  4.305259  5.420428e-05  1.609394e-03
XM_048719665.1  -0.9004008  4.197669  5.436248e-05  1.609394e-03
XM_001647469.3   0.9520128  4.743702  5.478276e-05  1.613786e-03
XM_032374527.2   1.0352516  4.952607  5.504264e-05  1.613786e-03
XM_001629388.3   1.0009895  5.694057  5.535147e-05  1.615039e-03
XM_048723801.1   0.9796971  5.515097  5.562015e-05  1.615113e-03
XR_004296830.2   1.2210581  7.712255  5.764587e-05  1.665966e-03
XM_001633335.3  -1.1577172  8.560403  5.942328e-05  1.703263e-03
XM_001623710.2   0.9825996  5.420770  5.949775e-05  1.703263e-03
XM_032364360.2  -0.9504454  5.807484  6.142283e-05  1.736758e-03
XM_048731936.1   1.1209883  5.522426  6.156581e-05  1.736758e-03
XM_032363960.2   1.0220775  5.356625  6.163205e-05  1.736758e-03
XM_032381139.2  -1.2510505  7.627823  6.181245e-05  1.736758e-03
XM_001623467.3  -1.2954216  5.202588  6.727819e-05  1.881619e-03
XM_048729302.1  -0.9709899  5.301417  7.004328e-05  1.949966e-03
XM_032370334.2  -0.9123129  5.166428  7.058839e-05  1.956169e-03
XM_032381347.2  -1.0256699  5.052461  7.115539e-05  1.962919e-03
XM_032366159.2   1.0262444  5.629549  7.799965e-05  2.141990e-03
XR_007306629.1   4.7534851 10.100554  7.871884e-05  2.148013e-03
XM_001631991.3   1.0692078  5.766549  7.892683e-05  2.148013e-03
XM_001637837.3   1.0938407  4.986838  8.246067e-05  2.234169e-03
XM_001634064.3   0.9489367  5.112794  8.373553e-05  2.258626e-03
XM_048724736.1  -0.8386920  4.062073  8.447433e-05  2.268472e-03
XM_048734532.1   1.0053495  6.484626  8.575991e-05  2.292850e-03
XM_001636086.3   1.0586798  4.640599  8.754759e-05  2.327617e-03
XM_032366603.2  -1.1474446  5.370047  8.782736e-05  2.327617e-03
XR_007306415.1  -1.1298526  5.583851  8.827945e-05  2.329426e-03
XM_032384093.2   1.5319496  6.807006  8.952236e-05  2.351997e-03
XM_001639580.3   1.1269817  6.531414  9.040790e-05  2.365024e-03
XM_048728792.1  -1.1248300  4.985177  9.541842e-05  2.485384e-03
XM_048726713.1  -1.2508916  4.837435  9.672128e-05  2.508553e-03
XM_048727178.1   1.3328869  7.377200  9.864011e-05  2.547433e-03
XM_048725767.1  -1.3896985  7.562875  1.012447e-04  2.603619e-03
XM_048725562.1  -1.2168358  5.637010  1.056212e-04  2.704704e-03
XM_048729564.1  -1.0613039  8.369151  1.071527e-04  2.732393e-03
XM_001627083.3  -1.1729391  5.157204  1.089373e-04  2.766277e-03
XM_048733448.1  -1.0624296  4.109771  1.095995e-04  2.771497e-03
XR_007313731.1  -1.9139580 11.961466  1.163365e-04  2.925227e-03
XM_032383015.2   0.9930251  4.626994  1.169168e-04  2.925227e-03
XM_001638034.3  -1.1554363  4.771687  1.171248e-04  2.925227e-03
XR_007312046.1  -0.9382171  5.177976  1.190340e-04  2.955390e-03
XM_048731663.1  -2.0886894  7.432830  1.193064e-04  2.955390e-03
XR_004294420.2  -1.0282118  4.613901  1.203532e-04  2.969200e-03
XM_001634477.3  -0.8262475  4.143031  1.262520e-04  3.102119e-03
XM_048733739.1  -1.7841630  6.107188  1.269687e-04  3.107148e-03
XM_001626176.3  -1.1326204  5.680575  1.302795e-04  3.175366e-03
XM_032364427.2   1.0466603  5.204250  1.312952e-04  3.187322e-03
XM_001640381.3  -1.0830207  7.464123  1.323390e-04  3.199863e-03
XM_032371550.2  -1.0870789  6.894492  1.331530e-04  3.206768e-03
XR_004296070.2  -1.2291638  5.865460  1.355497e-04  3.251586e-03
XM_032367265.2   0.9976772  4.683151  1.396516e-04  3.336793e-03
XM_048726077.1   1.2984061  7.640827  1.408032e-04  3.351117e-03
XM_032375167.2  -1.0845495  4.482057  1.439406e-04  3.412405e-03
XM_048723244.1   1.0494828  6.370736  1.445508e-04  3.413535e-03
XM_048733318.1  -0.8067521  4.245516  1.463337e-04  3.442245e-03
XM_001633843.3   0.9335555  4.507267  1.474492e-04  3.455094e-03
XM_032379762.2   1.0587484  5.279691  1.535144e-04  3.583380e-03
XM_032379332.2   1.0141861  5.643562  1.552221e-04  3.609359e-03
XM_032379062.2  -0.9872562  6.159001  1.576505e-04  3.651834e-03
XM_048733547.1   0.9908666  5.658269  1.589996e-04  3.669081e-03
XM_032365683.2   0.9263557  4.991055  1.623926e-04  3.733184e-03
XM_048720802.1   0.9474692  5.610607  1.710392e-04  3.905625e-03
XM_048729559.1  -0.8790785  4.356362  1.711808e-04  3.905625e-03
XM_032366265.2  -0.9576438  4.335486  1.735218e-04  3.939490e-03
XM_032385174.2  -0.9714488  5.106474  1.739633e-04  3.939490e-03
XM_001630073.3  -0.8011462  4.183238  1.756118e-04  3.961617e-03
XM_001629087.2   0.9857842  5.621208  1.762459e-04  3.961617e-03
XM_001628266.3   0.8051595  4.270202  1.815084e-04  4.064851e-03
XM_001628128.3   0.8921244  5.490223  1.844964e-04  4.116575e-03
XM_032386257.2   0.9961589  5.325161  1.859271e-04  4.121197e-03
XM_032366858.2  -1.1327309  7.710742  1.860616e-04  4.121197e-03
XM_001641749.3   1.0242620  5.053715  1.869452e-04  4.125711e-03
XM_001647486.3   0.9923838  4.345991  1.951683e-04  4.291581e-03
XM_048722456.1   1.0436339  7.465819  1.968587e-04  4.313124e-03
XM_032387288.2  -0.9371389  5.535728  2.020669e-04  4.411309e-03
XM_032363159.2   0.9426165  4.289848  2.048767e-04  4.456619e-03
XM_032382712.2   0.9611325  4.322320  2.104964e-04  4.562510e-03
XM_048724725.1   0.9200131  5.093588  2.119366e-04  4.577378e-03
XM_048720920.1  -1.2651161  4.760730  2.160875e-04  4.650478e-03
